FIPS,Percent,Total,%,Distance to Closest (Miles),Normalized,Flip
05015,0.14,"3,920",14,38.89472741,0.340738583,0.659261417
05017,0.207,"2,160",20.7,68.13484104,0.316719639,0.683280361
05019,0.169,"3,790",16.9,53.95463048,0.202665953,0.797334047
05021,0.188,"2,760",18.8,15.90308546,0.303172628,0.696827372
05023,0.161,"4,040",16.1,59.27050968,0.273233155,0.726766845
05025,0.146,"1,170",14.6,66.12775177,0.23615486,0.76384514
05027,0.174,"4,110",17.4,44.85537552,0.222832887,0.777167113
05029,0.18,"3,750",18,5.698453489,0.006972098,0.993027902
05031,0.16,"17,490",16,42.76660239,0.099201937,0.900798063
05033,0.159,"10,050",15.9,47.46535803,0.123388214,0.876611786
05035,0.167,"8,080",16.7,20.29871225,0.176308037,0.823691963
05037,0.159,"2,640",15.9,38.07495109,0.263121016,0.736878984
05039,0.141,"1,000",14.1,81.96058497,0.422703028,0.577296972
05041,0.174,"2,010",17.4,12.10773502,0.383069504,0.616930496
05043,0.155,"2,830",15.5,40.74584284,0.155890199,0.844109801
05045,0.143,"17,810",14.3,52.62490274,0.15845868,0.84154132
05047,0.191,"3,400",19.1,81.52646592,0.380637728,0.619362272
05049,0.178,"2,190",17.8,55.19259893,0.23581234,0.76418766
05051,0.176,"17,410",17.6,62.6335627,0.137554785,0.862445215
05053,0.142,"2,590",14.2,17.80415491,0.108252773,0.891747227
05055,0.17,"7,700",17,51.08975352,0.138783096,0.861216904
05057,0.155,"3,370",15.5,54.23963542,0.216024622,0.783975378
05059,0.158,"5,330",15.8,61.18556555,0.221702106,0.778297894
05061,0.151,"2,010",15.1,197.8213798,0.256795722,0.743204278
05063,0.155,"5,810",15.5,171.2865658,0.365621186,0.634378814
05065,0.181,"2,450",18.1,187.4388305,0.171082015,0.828917985
05067,0.194,"3,270",19.4,59.29280984,0.179928766,0.820071234
05069,0.163,"11,080",16.3,32.87439228,0.27966766,0.72033234
05071,0.167,"4,430",16.7,77.78956881,0.13198241,0.86801759
05073,0.187,"1,260",18.7,37.49853041,0.149453594,0.850546406
05075,0.17,"2,800",17,45.88710649,0.260756623,0.739243377
05077,0.194,"1,740",19.4,22.56924016,0.300939563,0.699060437
05079,0.152,"2,010",15.2,51.94468293,0.108430477,0.891569523
05081,0.143,"1,760",14.3,20.84234745,0.199058024,0.800941976
05083,0.173,"3,730",17.3,61.63836083,0.122699981,0.877300019
05085,0.135,"9,850",13.5,25.81752085,0.128432852,0.871567148
05087,0.155,"2,540",15.5,46.86235384,0.397003785,0.602996215
05089,0.182,"3,010",18.2,53.60717905,0.052513164,0.947486836
05091,0.163,"7,090",16.3,38.03605756,0.164185631,0.835814369
05093,0.183,"7,590",18.3,83.07786286,0.315623398,0.684376602
05095,0.183,"1,260",18.3,3.792688009,0.345280711,0.654719289
05097,0.182,"1,630",18.2,47.95743424,0.213746907,0.786253093
05099,0.17,"1,410",17,63.50642964,0.2691547,0.7308453
05101,0.141,"1,090",14.1,47.58760246,0.326696097,0.673303903
05103,0.17,"4,000",17,21.15243764,0.191760874,0.808239126
05105,0.161,"1,660",16.1,76.68046205,0.338453801,0.661546199
05107,0.222,"4,020",22.2,48.07761516,0.267313975,0.732686025
05109,0.171,"1,830",17.1,62.38791071,0.076415521,0.923584479
05111,0.182,"4,330",18.2,29.38018237,0.293982882,0.706017118
05113,0.188,"3,770",18.8,37.71545986,0.328384558,0.671615442
05115,0.148,"9,450",14.8,43.29461592,0.221664483,0.778335517
05117,0.14,"1,140",14,41.14012534,0.025220531,0.974779469
05119,0.147,"57,690",14.7,60.15132107,0.211185446,0.788814554
05121,0.176,"3,150",17.6,6.331164731,0.234758344,0.765241656
05123,0.195,"4,970",19.5,94.22877427,0.09846767,0.90153233
05125,0.116,"14,010",11.6,22.51125163,0.187648189,0.812351811
05127,0.164,"1,680",16.4,59.58455932,0.407815324,0.592184676
05129,0.203,"1,600",20.3,25.76004636,0.057374861,0.942625139
05131,0.165,"21,040",16.5,56.99231286,0.201047621,0.798952379
05133,0.152,"2,580",15.2,22.5594429,0.260642946,0.739357054
05135,0.182,"3,130",18.2,2.45485146,0.405637419,0.594362581
05137,0.193,"2,430",19.3,4.864639369,0.273524663,0.726475337
05139,0.159,"6,210",15.9,92.9525353,0.310854776,0.689145224
05141,0.177,"2,930",17.7,35.05676755,0.085952879,0.914047121
05143,0.135,"31,830",13.5,27.20986012,0.25294135,0.74705865
05145,0.154,"12,150",15.4,10.11335351,0.268743799,0.731256201
05147,0.169,"1,090",16.9,59.4404145,0.303590408,0.696409592
05149,0.14,"3,000",14,26.17595269,7.66727181,-6.66727181
06001,0.093,"154,830",9.3,35.18306186,7.098856474,-6.098856474
06003,0.117,140,11.7,76.92972218,7.324507345,-6.324507345
06005,0.106,"4,160",10.6,19.07192122,7.574205805,-6.574205805
06007,0.14,"31,330",14,93.69036471,7.298003458,-6.298003458
06009,0.114,"5,240",11.4,32.68575658,7.745884294,-6.745884294
06011,0.129,"2,760",12.9,6.865735238,7.674668416,-6.674668416
06013,0.085,"97,160",8.5,37.64135912,8.202440403,-7.202440403
06015,0.144,"3,990",14.4,49.05492513,7.28784889,-6.28784889
