Normalized%,Flip,10% food,30% food,50% food,70% food,90% food
0.593333333,0.76418766,0.747102227,0.712931362,0.678760497,0.674066898,0.610418766
0.586666667,0.862445215,0.83486736,0.779711651,0.724555941,0.678190835,0.614244522
0.473333333,0.891747227,0.849905838,0.766223059,0.68254028,0.589698404,0.515174722
0.566666667,0.861216904,0.83176188,0.772851833,0.713941786,0.63185928,0.596121691
0.516666667,0.783975378,0.757244507,0.703782765,0.650321023,0.595156035,0.543397538
0.526666667,0.778297894,0.753134771,0.702808526,0.652482281,0.59162795,0.55182979
0.503333333,0.743204278,0.719217184,0.671242995,0.623268806,0.542646977,0.527320428
0.516666667,0.634378814,0.622607599,0.59906517,0.575522741,0.610342062,0.528437882
0.603333333,0.828917985,0.80635952,0.761242589,0.716125659,0.668354703,0.625891798
0.646666667,0.820071234,0.802730777,0.768049864,0.733368951,0.668766369,0.664007124
0.543333333,0.72033234,0.702632439,0.667232638,0.631832837,0.64073861,0.561033234
0.556666667,0.86801759,0.836882498,0.774612313,0.712342129,0.644830589,0.587801759
0.623333333,0.850546406,0.827825099,0.782382484,0.73693987,0.658106346,0.64605464
0.566666667,0.739243377,0.721985706,0.687470364,0.652955022,0.606384798,0.583924338
0.646666667,0.699060437,0.69382106,0.683342306,0.672863552,0.720137524,0.651906044
0.506666667,0.891569523,0.853079237,0.776098666,0.699118095,0.59494926,0.545156953
0.476666667,0.800941976,0.768514445,0.703659383,0.638804322,0.596856673,0.509094198
0.576666667,0.877300019,0.847236684,0.787110013,0.726983343,0.665136811,0.606730002
0.45,0.871567148,0.829410433,0.745097004,0.660783574,0.495898865,0.492156715
0.516666667,0.602996215,0.59436326,0.577097351,0.559831441,0.645912718,0.525299622
0.606666667,0.947486836,0.913404819,0.845240785,0.777076752,0.675410978,0.640748684
0.543333333,0.835814369,0.806566265,0.748070058,0.689573851,0.585646314,0.572581437
0.61,0.684376602,0.676938942,0.662063621,0.647188301,0.623415787,0.61743766
0.61,0.654719289,0.65024736,0.641303502,0.632359645,0.662875928,0.614471929
0.606666667,0.786253093,0.76829445,0.732377165,0.69645988,0.643920257,0.62462531
0.566666667,0.7308453,0.714427437,0.68159171,0.648755984,0.598657838,0.58308453
0.47,0.673303903,0.652973513,0.612312732,0.571651952,0.571471738,0.49033039
0.566666667,0.808239126,0.78408188,0.735767388,0.687452897,0.595130527,0.590823913
0.536666667,0.661546199,0.649058246,0.624082339,0.599106433,0.595472474,0.54915462
0.74,0.732686025,0.733417423,0.734880218,0.736343013,0.795075344,0.739268603
0.57,0.923584479,0.888226031,0.817509135,0.74679224,0.610805135,0.605358448
0.606666667,0.706017118,0.696082073,0.676211983,0.656341893,0.6261513,0.616601712
0.626666667,0.671615442,0.667120565,0.65813081,0.649141055,0.672167322,0.631161545
0.493333333,0.778335517,0.749835299,0.692834862,0.635834425,0.637767174,0.521833551
0.466666667,0.974779469,0.923968189,0.822345628,0.720723068,0.563311033,0.517477947
0.49,0.788814554,0.758933099,0.699170188,0.639407277,0.572572497,0.519881455
0.586666667,0.765241656,0.747384157,0.711669159,0.675954162,0.681126366,0.604524166
0.65,0.90153233,0.876379097,0.826072631,0.775766165,0.698705543,0.675153233
0.386666667,0.812351811,0.769783297,0.684646268,0.599509239,0.44832207,0.429235181
0.546666667,0.592184676,0.587632875,0.578529273,0.569425672,0.665454209,0.551218468
0.676666667,0.942625139,0.916029292,0.862837597,0.809645903,0.713352381,0.703262514
0.55,0.798952379,0.774057141,0.724266665,0.67447619,0.606807116,0.574895238
0.506666667,0.739357054,0.716088015,0.669549938,0.623011861,0.532975441,0.529935706
0.606666667,0.594362581,0.59559299,0.598053807,0.600514624,0.642609268,0.605436258
0.643333333,0.726475337,0.718161137,0.701532736,0.684904335,0.6570769,0.651647533
0.53,0.689145224,0.673230702,0.641401657,0.609572612,0.645214136,0.545914522
0.59,0.914047121,0.881642409,0.816832985,0.752023561,0.637117595,0.622404712
0.45,0.74705865,0.717352785,0.657941055,0.598529325,0.53437686,0.479705865
0.513333333,0.731256201,0.709463914,0.665879341,0.622294767,0.568256211,0.53512562
0.563333333,0.696409592,0.683101966,0.656486714,0.629871463,-1.60584821,0.576640959
0.466666667,-6.66727181,-5.953877962,-4.527090267,-3.100302572,-1.502990275,-0.246727181
0.31,-6.098856474,-5.457970827,-4.176199532,-2.894428237,-1.680352204,-0.330885647
0.39,-6.324507345,-5.653056611,-4.310155142,-2.967253673,-1.699261742,-0.281450735
0.353333333,-6.574205805,-5.881451891,-4.495944064,-3.110436236,-1.642067704,-0.339420581
0.466666667,-6.298003458,-5.621536446,-4.268602421,-2.915668396,-1.697098621,-0.209800346
0.38,-6.745884294,-6.033295865,-4.608119006,-3.182942147,-1.736400525,-0.332588429
0.43,-6.674668416,-5.964201574,-4.543267891,-3.122334208,-1.859732121,-0.280466842
0.283333333,-7.202440403,-6.453863029,-4.956708282,-3.459553535,-1.688021334,-0.465244041
0.48,-6.28784889,-5.611064001,-4.257494223,-2.903924445,-1.483814918,-0.196784889
0.316666667,-6.066049726,-5.427778087,-4.151234808,-2.87469153,-1.813980665,-0.321604972
0.48,-6.785491105,-6.058941995,-4.605843774,-3.152745553,-1.818453041,-0.246549111
0.416666667,-7.181510138,-6.421692458,-4.902057097,-3.382421736,-1.221656838,-0.343151014
0.5,-5.044411684,-4.489970516,-3.381088179,-2.272205842,-1.284775815,-0.054441168
0.633333333,-5.449252717,-4.840994112,-3.624476902,-2.407959692,-1.312950911,0.025074728
0.356666667,-5.854280813,-5.233186065,-3.990996569,-2.748807073,-1.589458959,-0.264428081
0.476666667,-6.130418754,-5.469710212,-4.148293128,-2.826876044,-1.731989296,-0.184041875
0.42,-6.885519875,-6.154967888,-4.693863913,-3.232759938,-1.601863829,-0.310551988
0.5,-6.319546098,-5.637591488,-4.273682269,-2.909773049,-1.379194457,-0.18195461
0.373333333,-5.763981524,-5.150250038,-3.922787067,-2.695324096,-1.565270276,-0.240398153
0.423333333,-6.088678698,-5.437477495,-4.135075089,-2.832672683,-1.770713115,-0.22786787
0.42,-6.890154827,-6.159139344,-4.697108379,-3.235077414,-1.54312527,-0.311015483
0.25,-6.123750899,-5.486375809,-4.211625629,-2.93687545,-1.941051229,-0.38737509
0.496666667,-7.053504095,-6.298487019,-4.788452866,-3.278418714,-1.558086972,-0.258350409
0.463333333,-6.35251213,-5.670927584,-4.307758491,-2.944589399,-1.589506865,-0.218251213
0.463333333,-6.379467327,-5.695187261,-4.326627129,-2.958066997,-1.4286356,-0.220946733
0.453333333,-5.843229777,-5.213573466,-3.954260844,-2.694948222,-1.639353134,-0.176322978
0.356666667,-6.522288224,-5.834392735,-4.458601757,-3.082810779,-1.784331081,-0.331228822
0.34,-6.779992494,-6.067993245,-4.643994746,-3.219996247,-1.667368116,-0.371999249
0.29,-6.351227052,-5.687104347,-4.358858936,-3.030613526,-1.498735328,-0.374122705
0.343333333,-5.672451092,-5.07087265,-3.867715765,-2.66455888,-1.661135305,-0.25824511
0.313333333,-6.338228795,-5.673072582,-4.342760157,-3.012447731,-1.692636661,-0.35182288
0.266666667,-6.373233313,-5.709243315,-4.381263319,-3.053283323,-1.36437733,-0.397323331
0.436666667,-5.170146655,-4.609465323,-3.488102658,-2.366739994,-1.648146818,-0.124014665
0.323333333,-6.512711616,-5.829107121,-4.461898131,-3.094689142,-1.713115318,-0.360271162
0.39,-6.464828838,-5.779345954,-4.408380187,-3.037414419,-1.27476279,-0.295482884
0.276666667,-5.1592093,-4.615621703,-3.52844651,-2.441271317,-1.435974955,-0.26692093
0.353333333,-5.432138741,-4.853591534,-3.696497119,-2.539402704,-1.797668268,-0.225213874
0.336666667,-6.816672005,-6.101338138,-4.670670403,-3.240002669,-1.712823324,-0.3786672
0.366666667,-6.494966637,-5.808803307,-4.436476646,-3.064149985,-1.639925272,-0.319496663
