FIPS,Percent,Total,%,Distance to Closest (Miles),Normalized
05111,0.182,"4,330",18.2,29.38018237,0.293982882
05113,0.188,"3,770",18.8,37.71545986,0.328384558
05115,0.148,"9,450",14.8,43.29461592,0.221664483
05117,0.14,"1,140",14,41.14012534,0.025220531
05119,0.147,"57,690",14.7,60.15132107,0.211185446
05121,0.176,"3,150",17.6,6.331164731,0.234758344
05123,0.195,"4,970",19.5,94.22877427,0.09846767
05125,0.116,"14,010",11.6,22.51125163,0.187648189
05127,0.164,"1,680",16.4,59.58455932,0.407815324
05129,0.203,"1,600",20.3,25.76004636,0.057374861
05131,0.165,"21,040",16.5,56.99231286,0.201047621
05133,0.152,"2,580",15.2,22.5594429,0.260642946
05135,0.182,"3,130",18.2,2.45485146,0.405637419
05137,0.193,"2,430",19.3,4.864639369,0.273524663
05139,0.159,"6,210",15.9,92.9525353,0.310854776
05141,0.177,"2,930",17.7,35.05676755,0.085952879
05143,0.135,"31,830",13.5,27.20986012,0.25294135
05145,0.154,"12,150",15.4,10.11335351,0.268743799
05147,0.169,"1,090",16.9,59.4404145,0.303590408
05149,0.14,"3,000",14,26.17595269,7.66727181
06001,0.093,"154,830",9.3,35.18306186,7.098856474
06003,0.117,140,11.7,76.92972218,7.324507345
06005,0.106,"4,160",10.6,19.07192122,7.574205805
06007,0.14,"31,330",14,93.69036471,7.298003458
06009,0.114,"5,240",11.4,32.68575658,7.745884294
06011,0.129,"2,760",12.9,6.865735238,7.674668416
06013,0.085,"97,160",8.5,37.64135912,8.202440403
06015,0.144,"3,990",14.4,49.05492513,7.28784889
06017,0.095,"18,100",9.5,24.15472653,7.066049726
06019,0.144,"142,780",14.4,19.92957332,7.785491105
06021,0.125,"3,520",12.5,43.32863466,8.181510138
06023,0.15,"20,400",15,50.59427302,6.044411684
06025,0.19,"34,270",19,35.04016587,6.449252717
06027,0.107,"1,910",10.7,8.45889455,6.854280813
06029,0.143,"127,510",14.3,68.3266608,7.130418754
06031,0.126,"19,010",12.6,12.06127971,7.885519875
06033,0.15,"9,610",15,16.52211661,7.319546098
06035,0.112,"3,430",11.2,40.99745292,6.763981524
06037,0.127,"1,271,040",12.7,45.65148277,7.088678698
06039,0.126,"19,680",12.6,49.54900553,7.890154827
06041,0.075,"19,470",7.5,43.33455782,7.123750899
06043,0.149,"2,580",14.9,38.3165662,8.053504095
06045,0.139,"12,130",13.9,16.82924531,7.35251213
06047,0.139,"38,150",13.9,111.0840907,7.379467327
06049,0.136,"1,210",13.6,81.11181281,6.843229777
06051,0.107,"1,540",10.7,76.22742201,7.522288224
06053,0.102,"44,380",10.2,41.6508866,7.779992494
06055,0.087,"12,070",8.7,71.46496402,7.351227052
06057,0.103,"10,230",10.3,64.3397177,6.672451092
06059,0.094,"296,470",9.4,25.87298739,7.338228795
06061,0.08,"31,360",8,24.91194455,7.373233313
06063,0.131,"2,470",13.1,17.85479658,6.170146655
06065,0.097,"237,110",9.7,44.51347358,7.512711616
06067,0.117,"179,280",11.7,66.06745324,7.464828838
06069,0.083,"5,100",8.3,32.68088984,6.1592093
06071,0.106,"228,340",10.6,7.5955792,6.432138741
06073,0.101,"336,190",10.1,29.14370414,7.816672005
06075,0.11,"95,890",11,60.96753034,7.494966637
06077,0.121,"90,820",12.1,17.55101514,7.321973129
06079,0.091,"25,600",9.1,23.69223848,7.791921498
06081,0.071,"53,990",7.1,46.83662551,7.248552862
06083,0.092,"41,140",9.2,27.07665702,7.621245553
06085,0.075,"144,140",7.5,40.24849059,7.709649656
06087,0.1,"27,360",10,71.73087151,7.700656743
